,,,Annual 2004-2005,Annual 2004-2005,Annual 2004-2005,Annual 2005-2006,Annual 2005-2006,Annual 2005-2006,Annual 2006-2007,Annual 2006-2007,Annual 2006-2007,Annual 2007-2008,Annual 2007-2008,Annual 2007-2008,Annual 2008-2009,Annual 2008-2009,Annual 2008-2009,Annual 2009-2010,Annual 2009-2010,Annual 2009-2010,Annual 2010-2011,Annual 2010-2011,Annual 2010-2011,Annual 2011-2012,Annual 2011-2012,Annual 2011-2012,Annual 2012-2013,Annual 2012-2013,Annual 2012-2013,Annual 2013-2014,Annual 2013-2014,Annual 2013-2014,Annual 2014-2015,Annual 2014-2015,Annual 2014-2015,Annual 2015-2016,Annual 2015-2016,Annual 2015-2016,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2023-2024,Annual 2023-2024,Annual 2023-2024,Annual 2024-2025,Annual 2024-2025,Annual 2024-2025
,,Federal Direct Student Loan - subsidized,,,,,,,,,,,,,,,,,,,528,881,"$1,859,854",847,"1,373","$2,834,612",750,"1,244","$2,523,414",473,788,"$1,615,669",401,663,"$1,333,886",331,541,"$1,104,155",288,476,"$974,978",242,419,"$855,985",192,316,"$639,612",170,271,"$589,998",90,147,"$306,106",105,161,"$372,143",118,186,"$401,926",106,173,"$367,693",139,227,"$480,614"
,,Federal Direct Student Loan - unsubsidized,,,,,,,,,,,,,,,,,,,409,683,"$1,809,131",626,"1,026","$2,529,956",575,941,"$2,336,416",340,568,"$1,353,234",288,483,"$1,135,842",237,395,"$835,403",216,358,"$804,156",174,300,"$699,673",138,230,"$534,421",124,201,"$510,663",75,125,"$305,289",82,131,"$310,963",97,150,"$378,223",73,118,"$294,024",106,174,"$471,409"
,,Other loan: non-institutional source,2,4,"$9,764",,,,3,5,"$25,966",6,12,"$66,600",,,,,,,9,13,"$63,617",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,"$107,699"
,,PLUS loan: parent loan for undergraduate student,1,1,"$2,500",3,5,"$28,466",5,10,"$47,486",4,8,"$34,566",6,12,"$50,522",5,9,"$45,742",5,8,"$38,534",7,12,"$60,277",4,8,"$35,307",4,6,"$33,910",5,6,"$21,491",10,22,"$91,100",3,6,"$33,604",4,8,"$35,416",5,9,"$34,048",1,2,"$5,746",1,2,"$16,122",,,,,,,3,4,"$39,830",6,8,"$89,212"
,,"Stafford Loan, subsidized",339,557,"$955,289",396,663,"$1,124,806",367,611,"$1,036,312",424,712,"$1,574,010",513,856,"$1,896,762",551,904,"$1,993,969",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Stafford Loan, unsubsidized",133,216,"$424,322",178,297,"$594,958",191,324,"$634,295",240,409,"$820,951",348,597,"$1,530,027",350,582,"$1,525,950",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scholarship Total,,120,218,"$104,705",126,218,"$134,571",94,163,"$131,583",97,164,"$130,463",80,142,"$90,453",99,178,"$115,356",51,92,"$81,380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Scholarship: non-institutional source,120,218,"$104,705",126,218,"$134,571",94,163,"$131,583",97,164,"$130,463",80,142,"$90,453",99,178,"$115,356",51,92,"$81,380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Work Study Total,,10,20,"$20,174",105,172,"$193,874",88,168,"$181,352",88,178,"$197,976",85,157,"$226,665",144,228,"$303,640",87,178,"$247,903",135,135,"$281,716",137,137,"$351,335",76,76,"$228,900",83,83,"$267,053",84,84,"$219,806",85,85,"$244,403",72,72,"$232,803",83,83,"$280,170",80,80,"$283,211",31,31,"$109,194",72,72,"$270,454",61,61,"$260,128",62,62,"$274,027",65,65,"$284,691"
,,California State Work Study (SWS),,,,,,,,,,,,,1,1,$500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Federal Work Study (FWS) (Federal share),10,20,"$20,174",105,172,"$193,874",88,168,"$181,352",88,171,"$193,976",85,156,"$226,165",144,228,"$303,640",87,178,"$247,903",135,135,"$281,716",137,137,"$351,335",76,76,"$228,900",83,83,"$267,053",84,84,"$219,806",85,85,"$244,403",72,72,"$232,803",83,83,"$280,170",80,80,"$283,211",31,31,"$109,194",72,72,"$270,454",61,61,"$260,128",62,62,"$274,027",65,65,"$284,691"
,,Other Work Study and matching funds,,,,,,,,,,3,7,"$4,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Valley Total,,,"7,256","28,162","$15,936,893","6,848","28,321","$18,433,334","8,308","34,357","$18,772,909","7,859","33,908","$19,955,941","10,001","39,796","$26,586,049","12,046","46,406","$37,445,478","12,923","45,133","$37,045,880","12,480","44,239","$42,782,571","11,945","37,080","$31,426,123","12,175","37,892","$32,805,999","12,404","41,612","$34,392,349","12,419","42,783","$34,873,830","12,333","45,116","$36,493,086","12,081","44,379","$36,417,885","11,220","41,931","$36,093,388","11,513","46,719","$41,262,904","9,389","41,487","$34,923,901","8,987","47,279","$41,318,252","9,618","49,346","$43,277,732","11,856","52,883","$53,664,251","13,703","46,892","$60,673,785"
,California College Promise Grant Total,,"7,049","14,611","$2,436,122","6,528","13,877","$2,395,039","8,156","23,360","$7,332,063","7,411","15,714","$2,010,040","9,472","19,216","$2,439,580","11,662","22,222","$4,438,420","12,624","23,377","$4,769,388","12,207","21,421","$6,763,117","11,689","20,642","$8,449,648","11,769","21,049","$8,604,208","12,235","24,301","$9,175,896","12,233","24,023","$9,018,001","12,078","24,227","$9,008,635","11,879","23,991","$8,948,495","11,068","22,976","$8,501,283","11,228","23,378","$8,530,355","8,892","19,407","$7,058,332","7,904","16,789","$6,200,133","8,857","16,002","$6,546,492","11,584","25,112","$9,597,112","13,055","20,288","$9,874,455"
,,California College Promise - Method A-? (unknown base),"7,049","14,611","$2,436,122",52,64,"$10,673",132,264,"$146,308",192,298,"$34,250",,,,,,,790,"1,294","$291,785",182,189,"$27,910",19,26,"$7,176",69,96,"$35,673",103,150,"$50,715",163,221,"$78,315",164,246,"$89,937",43,77,"$25,737",42,62,"$20,286",22,35,"$10,166",4,4,"$1,449",1,1,$138,,,,3,5,"$2,070",24,42,"$23,736"
,,California College Promise - Method A-1 based on TANF recipient status,,,,,,,,,,,,,,,,,,,,,,7,8,"$1,440",5,6,"$2,461",10,11,"$3,818",5,7,"$3,174",,,,1,2,"$1,010",1,1,$138,,,,,,,,,,,,,,,,,,,1,2,"$1,380"
,,California College Promise - Method A-2 based on SSI recipient status,,,,,,,,,,,,,,,,,,,,,,9,12,"$2,142",10,13,"$3,979",12,15,"$3,956",6,8,"$2,990",1,1,$184,5,6,"$1,903",,,,,,,,,,,,,,,,,,,,,,"6,213","9,528","$4,633,809"
,,California College Promise - Method A-3 based on general assistance recipient status,,,,,,,,,,,,,,,,,,,,,,1,1,$144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,769","10,636","$5,158,435"
,,California College Promise - Method B based on income standards,,,,219,283,"$42,783",581,"1,160","$646,071",655,"1,109","$146,220",,,,,,,"7,868","12,500","$2,774,421","8,827","14,945","$4,755,805","8,231","14,223","$5,859,227","2,541","2,884","$812,935",945,"1,452","$527,114","1,496","2,297","$819,996","1,799","2,835","$998,056","1,731","2,673","$922,070","1,608","2,555","$894,815","1,576","2,732","$962,941",618,987,"$325,473",201,336,"$103,960",2,3,"$1,104",213,370,"$146,165",,,
,,California College Promise - Method C based on financial need,,,,"6,448","13,530","$2,341,583","8,041","21,936","$6,539,684","6,732","14,307","$1,829,570","9,472","19,216","$2,439,580","11,662","22,222","$4,438,420","6,559","9,583","$1,703,182","3,594","6,178","$1,941,350","3,759","6,223","$2,501,894","10,621","17,888","$7,676,480","11,356","22,478","$8,502,341","10,890","21,420","$8,080,291","10,472","21,012","$7,867,301","10,371","20,984","$7,898,821","9,726","20,161","$7,507,936","9,946","20,304","$7,431,760","8,364","18,015","$6,551,366","7,758","16,361","$6,059,051","8,855","15,999","$6,545,388","11,203","24,384","$9,297,514",51,80,"$57,095"
,,California College Promise (AB19) Fee Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,92,"$45,678",89,211,"$105,961",14,35,"$17,825",,,,135,275,"$117,967",,,
,,Fee Waiver – Dependent (children) of Deceased Law Enforcement/Fire Suppression,,,,,,,,,,,,,,,,,,,,,,2,3,"$1,206",,,,1,1,$184,,,,,,,,,,1,1,$138,1,2,$828,2,2,$460,,,,,,,,,,,,,,,
,,Fee Waiver – Dependent of (children) deceased or disabled Veteran,,,,,,,,,,,,,,,,,,,,,,55,84,"$32,832",91,149,"$74,359",92,154,"$71,162",103,206,"$89,562",84,84,"$39,215",101,126,"$50,428",124,255,"$101,591",96,196,"$77,418",94,213,"$79,350",81,190,"$74,083",30,56,"$19,159",,,,35,78,"$33,396",,,
,,Fee Waiver – Dependent of (children) of Congressional Medal of Honor recipient (CMH) or CMH recipient,,,,,,,,,,,,,,,,,,,,,,1,1,$288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Fee Waiver – Dependent of (surviving spouse and children) of deceased victims of September 11, 2001 terrorist attack",,,,,,,,,,,,,,,,,,,,,,,,,1,2,$552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grants Total,,"4,172","11,206","$10,375,302","4,296","11,748","$12,567,362","3,746","10,391","$11,052,067","4,279","14,833","$12,561,630","5,416","16,627","$16,195,900","6,940","19,035","$22,768,137","6,445","16,847","$22,783,853","7,145","17,559","$25,036,926","6,167","15,926","$22,410,226","6,558","16,299","$23,699,817","6,921","16,756","$24,663,944","7,146","18,196","$25,240,589","7,468","20,039","$26,522,091","7,214","19,733","$26,779,305","6,534","18,271","$26,662,111","7,493","22,509","$31,830,234","6,356","21,592","$27,472,139","8,708","29,890","$34,467,998","8,540","32,709","$36,057,727","7,910","27,113","$43,156,608","9,485","26,118","$49,672,735"
,,Academic Competitiveness Grant,,,,,,,27,46,"$19,450",75,113,"$49,525",41,66,"$32,725",19,31,"$14,569",52,95,"$37,458",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAFYES Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,104,"$44,561",146,198,"$94,493",128,196,"$98,452",,,,,,,105,109,"$50,200",165,258,"$161,417"
,,Cal Grant A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,"$18,750",2,3,"$7,500",7,12,"$27,750",23,39,"$96,561",24,40,"$93,652",24,35,"$92,250"
,,Cal Grant B,537,927,"$634,146",599,"1,049","$709,755",611,"1,086","$753,942",672,"1,201","$836,584",713,"1,262","$868,499",783,"1,378","$935,741",709,"1,265","$869,092",787,"1,402","$963,800",821,"1,472","$957,945",931,"1,654","$1,070,099","1,043","1,849","$1,322,246","1,137","2,025","$1,477,980","1,244","2,167","$1,600,805","1,247","2,170","$1,601,724","1,338","2,364","$1,734,143","1,558","2,630","$3,002,668","1,505","2,559","$2,727,916","1,815","2,900","$2,743,103","1,828","3,038","$3,010,612","2,308","3,834","$4,344,360","2,823","4,666","$4,165,746"
,,Cal Grant C,114,192,"$45,504",124,199,"$44,208",126,219,"$54,000",109,182,"$43,074",121,205,"$47,160",143,231,"$55,548",110,181,"$39,804",95,160,"$36,684",124,225,"$54,183",169,289,"$65,694",166,268,"$59,479",138,229,"$51,943",123,209,"$48,950",117,195,"$88,474",187,304,"$137,715",194,307,"$321,077",198,317,"$349,693",91,129,"$113,132",27,38,"$29,173",16,23,"$19,076",97,154,"$153,093"
,,CalWORKs Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,314,"$39,880",199,281,"$149,207",198,280,"$72,275",138,185,"$46,770",114,165,"$65,100",179,258,"$102,270",251,380,"$107,677",158,200,"$32,390"
,,CARE Grant,122,181,"$81,814",163,248,"$86,860",132,218,"$24,243",169,326,"$31,226",210,399,"$49,043",150,205,"$59,207",28,35,"$21,199",122,181,"$75,554",83,100,"$33,680",168,229,"$56,806",160,218,"$95,213",170,209,"$100,185",150,204,"$95,914",168,241,"$117,522",177,248,"$182,122","4,271","4,350","$2,394,898",38,38,"$21,500",28,30,"$30,000",96,153,"$434,900",102,145,"$362,500",134,220,"$379,500"
,,CARES/HEERF federal grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,753","5,162","$3,539,595","8,621","13,651","$12,553,800","7,918","12,674","$4,878,389",,,,,,
,,Chafee Grant,,,,,,,,,,37,72,"$172,500",28,56,"$140,000",19,34,"$84,738",4,8,"$20,000",12,17,"$42,500",10,19,"$47,500",12,21,"$51,731",16,29,"$72,500",20,35,"$87,500",28,43,"$105,542",10,15,"$37,500",39,57,"$137,909",31,51,"$127,500",45,73,"$181,380",56,93,"$267,164",56,92,"$230,000",61,101,"$251,250",54,89,"$222,500"
,,Disaster Relief Emergency Student Financial Aid (SB 116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,99,"$55,677",,,,,,,,,,,,
,,EOPS Grant,"1,100","1,691","$222,123","1,129","1,735","$232,104","1,082","1,629","$250,361","1,215","2,056","$303,915","1,314","1,939","$290,308","1,012","1,485","$103,080",813,"1,582","$191,621",651,"1,170","$130,600",691,791,"$79,275",85,87,"$8,700",168,243,"$24,450",492,562,"$87,550","1,088","1,578","$460,972","1,160","1,726","$517,530",877,999,"$330,423",92,92,"$27,600",845,"1,340","$421,578",730,"1,007","$277,408","1,005","1,642","$1,140,175",993,996,"$424,740","1,153","1,883","$949,066"
,,Full-time Student Success Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713,"1,203","$360,900","1,040","1,622","$484,978","1,016","1,618","$809,000",,,,,,,,,,,,,,,,,,,,,
,,Golden State Education and Training Grant Program (GSETGP) Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,20,"$47,500",,,,,,
,,Other grant: California College Promise (AB19) source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986,"1,515","$757,420",206,350,"$66,721",53,99,"$7,881"
,,Other grant: institutional source,,,,,,,,,,156,229,"$8,014",183,252,"$9,530",192,252,"$13,886",208,285,"$14,527",208,280,"$16,928",152,214,"$13,435",241,342,"$44,200",278,410,"$45,655",356,531,"$49,826",331,490,"$82,374",,,,56,67,"$21,657",38,48,"$12,060",,,,89,128,"$54,300",79,117,"$134,650",40,40,"$26,000",,,
,,Other grant: non-institutional source,,,,187,369,"$1,262,566",180,357,"$1,200,082",135,253,"$799,947",199,319,"$1,002,192",39,50,"$53,373",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pell Grant,"4,027","7,089","$9,166,515","4,055","6,685","$9,939,269","3,468","5,729","$8,528,589","3,994","7,207","$9,997,445","5,017","8,888","$13,432,343","6,755","12,009","$21,111,995","6,204","11,432","$21,197,352","6,990","12,358","$23,372,460","5,976","10,865","$20,776,008","6,432","11,673","$22,001,787","6,792","12,519","$22,800,401","6,941","12,107","$22,765,705","7,190","12,270","$23,352,812","6,938","11,849","$23,246,675","6,236","10,146","$21,778,837","6,753","10,815","$23,377,450","4,918","7,961","$17,308,147","4,870","7,486","$16,049,916","5,222","8,403","$19,968,713","6,777","10,853","$27,770,201","8,997","13,697","$36,396,289"
,,SEOG (Supplemental Educational Opportunity Grant),"1,126","1,126","$225,200","1,463","1,463","$292,600","1,107","1,107","$221,400","1,750","3,194","$319,400","1,804","3,241","$324,100","1,872","3,360","$336,000","1,151","1,964","$392,800","1,252","1,991","$398,400","1,229","2,240","$448,200","1,127","2,004","$400,800",695,"1,220","$244,000",752,"1,295","$259,000",881,"1,456","$289,744","1,065","1,605","$321,000","1,241","2,019","$403,800","1,421","1,908","$381,500","1,528","1,930","$687,500","1,968","2,716","$542,900","1,282","2,067","$413,400","3,390","4,850","$970,000","1,276","2,014","$505,970"
,,State Emergency Aid (AB540),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464,898,"$50,733","3,002","3,002","$1,799,318",,,
,,Student Success Completion Grant (SSCG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,044","1,682","$1,741,737","1,182","1,823","$1,999,963","1,138","1,729","$2,026,431","1,104","1,573","$1,743,425","1,172","1,755","$4,763,231","1,557","2,390","$6,870,913","1,921","2,803","$6,606,633"
,Loans Total,,682,"1,560","$2,480,758",652,"1,737","$2,802,385",4,8,"$26,500",865,"2,576","$4,848,421","1,150","3,477","$7,421,705","1,482","4,583","$9,675,620","1,447","4,323","$9,014,852","1,557","4,734","$10,407,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,296,"$693,374"
,,Federal Direct Student Loan - subsidized,97,161,"$236,495",125,202,"$299,677",,,,,,,,,,,,,"1,417","2,405","$4,492,057","1,540","2,564","$4,861,898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,153,"$351,124"
,,Federal Direct Student Loan - unsubsidized,38,62,"$120,000",61,95,"$176,728",,,,,,,,,,,,,"1,117","1,905","$4,469,495","1,310","2,166","$5,528,146",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,143,"$342,250"
,,Other loan: non-institutional source,,,,1,2,"$3,750",4,8,"$26,500",3,5,"$18,922",2,3,"$9,050",6,11,"$44,300",8,13,"$53,300",2,4,"$17,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PLUS loan: parent loan for undergraduate student,1,2,"$7,000",1,2,"$2,500",,,,1,2,"$9,500",,,,5,7,"$16,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Stafford Loan, subsidized",586,972,"$1,442,863",522,903,"$1,322,218",,,,842,"1,465","$2,756,024","1,111","1,915","$3,609,299","1,429","2,503","$4,687,603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Stafford Loan, unsubsidized",217,363,"$674,400",306,533,"$997,512",,,,627,"1,104","$2,063,975",899,"1,559","$3,803,356","1,177","2,062","$4,927,217",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scholarship Total,,257,457,"$246,452",331,663,"$327,883",199,458,"$216,945",255,494,"$256,503",264,341,"$273,233",193,299,"$170,589",215,363,"$155,829",183,210,"$141,168",218,219,"$135,821",197,279,"$176,492",206,276,"$168,853",198,275,"$171,408",339,502,"$402,103",282,365,"$285,547",319,428,"$485,876",429,577,"$398,347",342,410,"$301,078",334,440,"$333,435",387,493,"$355,592",348,423,"$313,087",,,
,,Scholarship: institutional source,,,,118,235,"$138,250",84,168,"$62,466",103,192,"$87,725",122,146,"$116,800",63,76,"$49,580",26,35,"$11,345",13,15,"$6,991",,,,24,24,"$9,000",10,10,"$7,057",1,1,$500,,,,3,3,"$4,198",,,,242,362,"$224,389",272,310,"$191,550",269,311,"$235,501",,,,,,,,,
,,Scholarship: non-institutional source,,,,227,426,"$189,383",145,286,"$150,649",166,285,"$158,599",152,178,"$141,913",80,96,"$78,504",191,310,"$140,094",160,172,"$120,664",218,219,"$135,821",181,255,"$167,492",199,266,"$161,796",197,274,"$170,908",339,502,"$402,103",281,362,"$281,349",319,428,"$485,876",207,215,"$173,958",82,100,"$109,528",77,127,"$96,097",113,116,"$90,872",70,70,"$49,664",,,
,,Scholarship: source unknown,257,457,"$246,452",1,2,$250,2,4,"$3,830",10,17,"$10,179",16,17,"$14,520",66,127,"$42,505",10,18,"$4,390",20,23,"$13,513",,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,"$1,837",364,377,"$264,720",348,353,"$263,423",,,
,Work Study Total,,165,328,"$398,259",152,296,"$340,665",78,140,"$145,334",115,291,"$279,347",85,135,"$255,631",132,267,"$392,712",119,223,"$321,958",162,315,"$434,316",139,293,"$430,428",135,265,"$325,482",125,279,"$383,656",149,289,"$443,832",179,348,"$560,257",151,290,"$404,538",128,256,"$444,118",128,255,"$503,968",40,78,"$92,352",80,160,"$316,686",73,142,"$317,921",123,235,"$597,444",114,190,"$433,221"
,,CalWORKs Work Study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11,"$39,550"
,,EOPS Work Study,37,71,"$69,375",24,47,"$30,148",10,19,"$38,638",13,36,"$56,639",17,35,"$73,735",11,27,"$29,994",,,,,,,,,,,,,,,,,,,8,13,"$4,039",3,3,"$2,079",,,,,,,,,,,,,,,,,,,,,
,,Federal Work Study (FWS) (Federal share),125,227,"$284,712",112,207,"$251,201",41,69,"$81,875",96,175,"$145,106",68,100,"$181,896",121,240,"$362,718",119,223,"$321,958",123,245,"$359,350",115,245,"$338,470",112,221,"$264,962",104,213,"$309,889",118,225,"$311,922",125,245,"$363,648",128,250,"$391,001",128,256,"$444,118",128,255,"$503,968",40,78,"$92,352",80,160,"$316,686",73,142,"$317,921",111,214,"$538,875",107,179,"$393,671"
,,Other Work Study and matching funds,16,30,"$44,172",24,42,"$59,316",30,52,"$24,821",41,80,"$77,602",,,,,,,,,,39,70,"$74,966",24,48,"$91,958",23,44,"$60,520",23,66,"$73,767",32,64,"$131,910",47,90,"$192,570",20,37,"$11,458",,,,,,,,,,,,,,,,12,21,"$58,569",,,
West LA Total,,,"6,522","20,260","$6,822,502","6,709","19,695","$6,344,135","7,013","20,636","$7,068,903","8,228","24,034","$8,839,686","10,479","30,880","$12,160,302","9,379","23,570","$17,538,047","9,935","26,775","$21,573,910","9,987","25,424","$21,769,601","9,615","23,977","$20,781,313","11,786","31,184","$22,661,906","11,000","27,548","$21,036,916","11,690","30,224","$20,545,432","11,916","31,010","$20,284,097","13,123","30,903","$19,374,621","12,490","30,549","$19,868,273","12,443","29,155","$20,606,919","10,992","27,886","$18,394,320","9,350","28,654","$21,116,224","8,632","27,527","$20,145,521","10,774","27,162","$21,571,211","10,042","26,453","$24,816,705"
,California College Promise Grant Total,,"6,508","15,839","$1,997,207","6,692","15,863","$1,986,049","6,991","16,147","$1,760,354","8,173","18,768","$1,720,680","10,425","24,203","$2,191,920","9,335","15,188","$3,005,489","9,888","16,148","$3,268,564","9,930","15,264","$4,356,414","9,549","14,493","$5,069,292","11,676","21,131","$6,218,763","10,922","19,439","$5,854,190","11,607","20,964","$6,211,638","11,807","22,050","$6,263,860","13,054","23,263","$6,329,918","12,403","21,440","$6,337,835","12,312","21,027","$5,841,144","10,800","17,315","$4,883,951","8,952","13,824","$3,896,953","8,387","13,972","$3,755,337","10,529","16,587","$4,301,256","9,858","15,901","$4,305,988"
,,California College Promise - Method A-? (unknown base),383,935,"$120,443",295,680,"$86,879",16,29,"$2,090",145,353,"$29,330",85,202,"$19,730",96,147,"$27,209",64,100,"$17,342",75,116,"$33,362",132,194,"$60,927",97,203,"$57,339",27,50,"$14,076",12,23,"$5,244",16,38,"$7,728",23,34,"$11,247",6,11,"$2,139",5,5,"$1,012",3,5,"$1,702",1,1,$184,,,,,,,,,
,,California College Promise - Method A-1 based on TANF recipient status,,,,,,,126,271,"$31,717",111,220,"$19,950",67,140,"$9,980",24,33,"$6,136",47,72,"$16,289",26,41,"$11,880",9,13,"$4,002",13,17,"$2,806",24,39,"$12,765",28,47,"$16,560",17,23,"$7,314",50,68,"$18,446",16,34,"$8,372",12,21,"$6,808",14,19,"$5,612",11,17,"$5,842",14,23,"$6,394",13,20,"$5,244",8,11,"$2,783"
,,California College Promise - Method A-2 based on SSI recipient status,,,,,,,7,11,$784,81,188,"$16,290",32,68,"$6,370",20,39,"$8,015",39,71,"$11,661",14,22,"$4,886",1,2,$690,6,7,"$1,426",13,24,"$5,934",13,27,"$7,038",23,59,"$8,441",38,64,"$15,272",15,29,"$6,325",16,31,"$6,601",9,16,"$3,956",7,8,"$2,438",9,11,"$2,507",3,4,"$1,840",6,8,"$1,426"
,,California College Promise - Method A-3 based on general assistance recipient status,,,,,,,108,245,"$25,735",24,49,"$2,700",4,10,"$1,100",5,8,"$2,197",13,21,"$4,017",10,15,"$3,510",,,,5,5,$460,2,2,$322,4,8,"$1,288",6,9,"$2,760",2,2,$391,4,8,"$1,380",1,1,$138,1,1,$138,,,,,,,,,,,,
,,California College Promise - Method B based on income standards,"4,643","11,148","$1,405,813","4,873","11,390","$1,422,850","5,242","11,976","$1,319,022","5,979","13,675","$1,264,340","7,599","17,505","$1,601,220","7,061","11,362","$2,262,720","7,536","12,236","$2,508,428","7,621","11,602","$3,337,448","7,167","10,812","$3,805,787","8,746","15,775","$4,650,761","8,215","14,539","$4,404,546","8,733","15,679","$4,682,761","8,724","16,137","$4,615,428","9,603","16,903","$4,595,038","8,512","14,379","$4,421,068","8,838","14,783","$4,121,271","7,369","11,569","$3,243,906","6,086","9,234","$2,583,732","5,845","9,491","$2,538,872","7,728","11,685","$2,978,160","6,595","10,311","$2,754,500"
,,California College Promise - Method C based on financial need,"1,514","3,756","$470,951","1,555","3,793","$476,320","1,514","3,615","$381,006","1,845","4,280","$387,930","2,666","6,264","$551,830","2,165","3,594","$698,432","2,229","3,648","$710,827","2,209","3,462","$964,392","2,240","3,464","$1,195,494","2,808","5,114","$1,502,567","2,634","4,770","$1,410,383","2,805","5,154","$1,488,949","3,010","5,762","$1,615,335","3,449","6,181","$1,686,534","3,833","6,952","$1,887,833","3,733","6,168","$1,700,714","3,681","5,695","$1,625,693","3,010","4,555","$1,300,893","2,751","4,440","$1,205,678","3,006","4,869","$1,313,551","3,509","5,564","$1,544,749"
,,California College Promise - Method D based on Homeless Youth determination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,$276,,,,,,,,,,,,,,,
,,Fee Waiver – Dependent (children) of Deceased Law Enforcement/Fire Suppression,,,,,,,,,,,,,1,2,$0,,,,,,,,,,,,,,,,,,,,,,1,1,$0,2,5,"$1,886",,,,,,,,,,,,,,,,,,,,,
